transaction_id,date,timestamp,company_name,ticker_symbol,sector,country,currency,transaction_type,price_per_share,volume,transaction_value,market_cap_msek,pe_ratio,earnings_msek,revenue_msek,debt_to_equity,return_on_equity,dividend_yield,beta,sharpe_ratio,daily_return,spread_pct,portfolio_type,risk_rating,analyst_rating,esg_score,credit_rating,var_95,liquidity_score,quarter,fiscal_year
TXN100001,2020-01-01,2020-01-01 14:26:07,Essity,ESSI,Consumer Staples,Sweden,SEK,DIVIDEND,193414.47,3006,581403897.45,158311.42,19.56,8093.65,131354.82,2.192,0.2303,0.0425,0.531,2.41,0.006878,0.011,GROWTH,LOW,BUY,58.1,A,5739438.34,5.0,Q1,2020
TXN100002,2020-01-02,2020-01-02 12:28:19,Electrolux,ELEC,Consumer Discretionary,Sweden,SEK,BUY,78853.37,14968,1180277217.21,47120.99,24.12,1953.49,9435.56,0.659,0.2043,0.0355,0.57,1.323,-0.011513,0.014,MIXED,VERY_HIGH,SELL,58.6,AA-,20162749.47,6.5,Q1,2020
TXN100003,2020-01-02,2020-01-02 10:05:10,Essity,ESSI,Consumer Staples,Sweden,SEK,SPLIT,99570.72,10110,1006660004.79,183433.27,24.63,7449.0,66306.32,1.396,0.214,0.0111,1.954,1.825,0.008287,0.0047,MIXED,VERY_HIGH,STRONG_BUY,32.9,A,5249510.56,8.8,Q1,2020
TXN100004,2020-01-03,2020-01-03 09:13:53,Spotify,SPOT,Technology,Sweden,SEK,BUY,614230.8,8549,5251059081.82,312203.18,34.83,8962.93,56534.48,0.524,0.2907,0.0045,1.98,1.817,-0.016284,0.0174,VALUE,HIGH,HOLD,70.5,A,88784257.09,3.4,Q1,2020
TXN100005,2020-01-03,2020-01-03 10:45:15,IKEA Holding,IKEA,Consumer Discretionary,Netherlands,EUR,DIVIDEND,142286.33,8396,1194636028.27,176533.71,27.75,6361.31,27968.87,1.286,0.0859,0.0428,1.641,1.184,-0.017464,0.003,FIXED_INCOME,MEDIUM,STRONG_BUY,32.0,BBB+,24988927.86,9.4,Q1,2020
TXN100006,2020-01-03,2020-01-03 09:43:19,Telia Company,TELI,Communication Services,Sweden,SEK,DIVIDEND,58074.72,21515,1249477619.95,84214.48,19.39,4343.89,21599.53,0.726,0.0731,0.0174,0.742,2.289,0.002442,0.0163,GROWTH,HIGH,BUY,88.2,A,37092554.77,3.8,Q1,2020
TXN100007,2020-01-04,2020-01-04 09:25:54,ABB Ltd,ABB,Industrials,Switzerland,CHF,SPLIT,628786.23,8314,5227728676.33,619231.44,23.19,26703.1,519612.32,1.375,0.1752,0.0133,0.68,0.513,-0.005339,0.0195,FIXED_INCOME,HIGH,HOLD,92.6,A+,4246420.47,5.0,Q1,2020
TXN100008,2020-01-04,2020-01-04 12:06:29,Essity,ESSI,Consumer Staples,Sweden,SEK,SELL,95609.06,1485,141979461.52,189160.21,24.1,7850.39,52149.66,0.318,0.1336,0.0545,0.859,-0.065,0.016321,0.008,VALUE,HIGH,SELL,71.1,BBB+,1548445.82,6.8,Q1,2020
TXN100009,2020-01-05,2020-01-05 10:00:03,Nordea Bank,NORD,Financials,Finland,EUR,SELL,461819.78,5971,2757525915.6,351698.69,9.87,35650.49,613025.07,1.559,0.2533,0.001,1.268,0.179,0.018963,0.0036,FIXED_INCOME,MEDIUM,SELL,52.2,AA-,77583466.41,8.7,Q1,2020
TXN100010,2020-01-06,2020-01-06 12:52:25,Sandvik,SAND,Industrials,Sweden,SEK,BUY,143740.36,11470,1648701886.34,228393.87,18.89,12093.64,122939.73,0.414,0.3192,0.054,1.45,0.517,-0.0131,0.0041,FIXED_INCOME,HIGH,SELL,88.4,BBB+,36803208.81,3.1,Q1,2020
TXN100011,2020-01-06,2020-01-06 13:58:52,Telia Company,TELI,Communication Services,Sweden,SEK,SELL,69382.53,5459,378759237.02,123073.17,24.45,5032.82,27899.32,0.716,0.2637,0.0142,0.988,1.739,-0.023837,0.008,EQUITY,MEDIUM,STRONG_BUY,47.2,A+,7283154.89,9.2,Q1,2020
TXN100012,2020-01-06,2020-01-06 10:12:57,H&M,H&M,Consumer Discretionary,Sweden,SEK,BUY,128944.45,1074,138486339.1,189317.33,30.9,6127.52,40707.02,1.527,0.1978,0.0117,1.584,0.342,-0.003969,0.0013,EQUITY,VERY_HIGH,STRONG_SELL,90.3,A,3758519.93,9.8,Q1,2020
TXN100013,2020-01-06,2020-01-06 10:57:54,Essity,ESSI,Consumer Staples,Sweden,SEK,SELL,274609.77,4872,1337898822.79,177333.31,21.85,8115.58,36850.91,0.929,0.1008,0.0334,1.904,1.588,0.016041,0.0108,FIXED_INCOME,VERY_HIGH,BUY,87.0,BBB,41248106.29,5.5,Q1,2020
TXN100014,2020-01-06,2020-01-06 09:29:03,IKEA Holding,IKEA,Consumer Discretionary,Netherlands,EUR,SELL,111838.45,8043,899516620.95,173679.55,31.19,5568.93,26265.74,2.194,0.324,0.0307,1.252,1.895,-0.014957,0.012,EQUITY,HIGH,BUY,32.3,A-,15860109.69,6.8,Q1,2020
TXN100015,2020-01-07,2020-01-07 15:52:46,Swedbank,SWED,Financials,Sweden,SEK,SELL,313518.76,365,114434349.09,196896.43,8.37,23514.28,109613.42,1.028,0.0881,0.0313,1.655,0.147,0.002104,0.0131,VALUE,MEDIUM,HOLD,77.2,BB,28771.76,8.6,Q1,2020
TXN100016,2020-01-07,2020-01-07 09:24:43,Hexagon AB,HEXA,Technology,Sweden,SEK,BUY,433649.23,1540,667819814.94,318582.82,40.36,7892.75,120149.08,0.258,0.3388,0.0502,1.544,0.727,-0.024718,0.0191,GROWTH,MEDIUM,HOLD,78.0,A-,19486060.26,7.3,Q1,2020
TXN100018,2020-01-08,2020-01-08 13:28:56,Swedbank,SWED,Financials,Sweden,SEK,SELL,112169.85,4383,491640446.31,214283.15,13.03,16443.65,74305.47,1.715,0.0989,0.0042,1.464,-0.42,0.043161,0.0189,MIXED,MEDIUM,HOLD,55.1,BB+,235555.76,9.3,Q1,2020
TXN100017,2020-01-08,2020-01-08 14:13:58,Investor AB,INVE,Financials,Sweden,SEK,SELL,936290.8,3482,3260164582.75,605547.24,15.58,38870.8,735093.74,0.467,0.0638,0.0024,1.783,1.611,-0.025098,0.0092,FIXED_INCOME,MEDIUM,BUY,55.9,BBB+,50857117.15,5.6,Q1,2020
TXN100019,2020-01-10,2020-01-10 12:41:18,SEB,SEB,Financials,Sweden,SEK,SELL,147918.13,6741,997116136.41,268650.1,11.19,24008.57,109640.68,0.254,0.2943,0.0169,0.677,1.59,0.004652,0.0044,EQUITY,HIGH,BUY,78.8,BBB,19733909.56,5.6,Q1,2020
